pi0;La/d_rs;e1/d_rs;e2/d_rs
256.19;10.52631579;0.052631579;0.052631579
302.56;11.84210526;0.052631579;0.052631579
351.23;13.15789474;0.052631579;0.052631579
403.72;14.47368421;0.052631579;0.052631579
460.11;15.78947368;0.052631579;0.052631579
138.41;10.52631579;0.157894737;0.052631579
165.64;11.84210526;0.157894737;0.052631579
194.56;13.15789474;0.157894737;0.052631579
227.49;14.47368421;0.157894737;0.052631579
260.33;15.78947368;0.157894737;0.052631579
113.89;10.52631579;0.263157895;0.052631579
134.66;11.84210526;0.263157895;0.052631579
159.36;13.15789474;0.263157895;0.052631579
187.23;14.47368421;0.263157895;0.052631579
215.67;15.78947368;0.263157895;0.052631579
98.285;10.52631579;0.368421053;0.052631579
118.62;11.84210526;0.368421053;0.052631579
140.91;13.15789474;0.368421053;0.052631579
164.27;14.47368421;0.368421053;0.052631579
190.33;15.78947368;0.368421053;0.052631579
89.686;10.52631579;0.473684211;0.052631579
108.64;11.84210526;0.473684211;0.052631579
128.86;13.15789474;0.473684211;0.052631579
150.38;14.47368421;0.473684211;0.052631579
174.22;15.78947368;0.473684211;0.052631579
468.35;10.52631579;0.052631579;0.157894737
557.67;11.84210526;0.052631579;0.157894737
654.44;13.15789474;0.052631579;0.157894737
760.84;14.47368421;0.052631579;0.157894737
873.01;15.78947368;0.052631579;0.157894737
236.52;10.52631579;0.157894737;0.157894737
285.05;11.84210526;0.157894737;0.157894737
335.68;13.15789474;0.157894737;0.157894737
390.85;14.47368421;0.157894737;0.157894737
448.23;15.78947368;0.157894737;0.157894737
184.31;10.52631579;0.263157895;0.157894737
222.17;11.84210526;0.263157895;0.157894737
261.72;13.15789474;0.263157895;0.157894737
305.89;14.47368421;0.263157895;0.157894737
355.59;15.78947368;0.263157895;0.157894737
160.55;10.52631579;0.368421053;0.157894737
191.98;11.84210526;0.368421053;0.157894737
227.14;13.15789474;0.368421053;0.157894737
264.75;14.47368421;0.368421053;0.157894737
307.19;15.78947368;0.368421053;0.157894737
141.52;10.52631579;0.473684211;0.157894737
169.23;11.84210526;0.473684211;0.157894737
200.92;13.15789474;0.473684211;0.157894737
235.44;14.47368421;0.473684211;0.157894737
272.94;15.78947368;0.473684211;0.157894737
690.38;10.52631579;0.052631579;0.263157895
825.01;11.84210526;0.052631579;0.263157895
973.47;13.15789474;0.052631579;0.263157895
1138.6;14.47368421;0.052631579;0.263157895
1309.3;15.78947368;0.052631579;0.263157895
334.4;10.52631579;0.157894737;0.263157895
403.2;11.84210526;0.157894737;0.263157895
478.99;13.15789474;0.157894737;0.263157895
556.9;14.47368421;0.157894737;0.263157895
643.95;15.78947368;0.157894737;0.263157895
257.63;10.52631579;0.263157895;0.263157895
307.59;11.84210526;0.263157895;0.263157895
368.05;13.15789474;0.263157895;0.263157895
430.52;14.47368421;0.263157895;0.263157895
494.6;15.78947368;0.263157895;0.263157895
207.58;10.52631579;0.368421053;0.263157895
259.92;11.84210526;0.368421053;0.263157895
303.21;13.15789474;0.368421053;0.263157895
345.96;14.47368421;0.368421053;0.263157895
425.42;15.78947368;0.368421053;0.263157895
191.32;10.52631579;0.473684211;0.263157895
226.68;11.84210526;0.473684211;0.263157895
277.6;13.15789474;0.473684211;0.263157895
314.14;14.47368421;0.473684211;0.263157895
371.09;15.78947368;0.473684211;0.263157895
933.94;10.52631579;0.052631579;0.368421053
1126.4;11.84210526;0.052631579;0.368421053
1333.8;13.15789474;0.052631579;0.368421053
1562.3;14.47368421;0.052631579;0.368421053
1804.1;15.78947368;0.052631579;0.368421053
436.15;10.52631579;0.157894737;0.368421053
528.15;11.84210526;0.157894737;0.368421053
627.6;13.15789474;0.157894737;0.368421053
742.67;14.47368421;0.157894737;0.368421053
844.86;15.78947368;0.157894737;0.368421053
327.95;10.52631579;0.263157895;0.368421053
380.05;11.84210526;0.263157895;0.368421053
466.78;13.15789474;0.263157895;0.368421053
544.06;14.47368421;0.263157895;0.368421053
631.96;15.78947368;0.263157895;0.368421053
268.93;10.52631579;0.368421053;0.368421053
324.55;11.84210526;0.368421053;0.368421053
391.83;13.15789474;0.368421053;0.368421053
453.44;14.47368421;0.368421053;0.368421053
528.34;15.78947368;0.368421053;0.368421053
231.78;10.52631579;0.473684211;0.368421053
280.31;11.84210526;0.473684211;0.368421053
331.93;13.15789474;0.473684211;0.368421053
388.89;14.47368421;0.473684211;0.368421053
449.68;15.78947368;0.473684211;0.368421053
1213.3;10.52631579;0.052631579;0.473684211
1466.8;11.84210526;0.052631579;0.473684211
1736.3;13.15789474;0.052631579;0.473684211
2039.6;14.47368421;0.052631579;0.473684211
2351.3;15.78947368;0.052631579;0.473684211
561.82;10.52631579;0.157894737;0.473684211
666.96;11.84210526;0.157894737;0.473684211
814.41;13.15789474;0.157894737;0.473684211
926.03;14.47368421;0.157894737;0.473684211
1073.3;15.78947368;0.157894737;0.473684211
389.84;10.52631579;0.263157895;0.473684211
469.91;11.84210526;0.263157895;0.473684211
556.7;13.15789474;0.263157895;0.473684211
651.33;14.47368421;0.263157895;0.473684211
746.58;15.78947368;0.263157895;0.473684211
326.69;10.52631579;0.368421053;0.473684211
391.67;11.84210526;0.368421053;0.473684211
466.65;13.15789474;0.368421053;0.473684211
552.02;14.47368421;0.368421053;0.473684211
633.51;15.78947368;0.368421053;0.473684211
282.42;10.52631579;0.473684211;0.473684211
334.96;11.84210526;0.473684211;0.473684211
409.59;13.15789474;0.473684211;0.473684211
464.35;14.47368421;0.473684211;0.473684211
547.73;15.78947368;0.473684211;0.473684211
